country,year,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,upperwhisker,lowerwhisker,Dystopia + residual,continent
Netherlands,2022,7.415,1.945,1.206,0.787,0.651,0.271,0.419,7.471,7.359,2.042,Europe
Luxembourg,2022,7.404,2.209,1.155,0.790,0.700,0.120,0.388,7.501,7.307,2.003,Europe
Sweden,2022,7.384,1.920,1.204,0.803,0.724,0.218,0.512,7.454,7.315,1.925,Europe
Norway,2022,7.365,1.997,1.239,0.786,0.728,0.217,0.474,7.440,7.290,2.634,Europe
Israel,2022,7.364,1.826,1.221,0.818,0.568,0.155,0.143,7.426,7.301,1.954,Asia
New Zealand,2022,7.200,1.852,1.235,0.752,0.680,0.245,0.483,7.279,7.120,2.148,Australia
Austria,2022,7.163,1.931,1.165,0.774,0.623,0.193,0.329,7.237,7.089,2.011,Europe
Australia,2022,7.162,1.900,1.203,0.772,0.676,0.258,0.341,7.244,7.081,1.743,Australia
Ireland,2022,7.041,2.129,1.166,0.779,0.627,0.190,0.408,7.121,6.961,2.142,Europe
Germany,2022,7.034,1.924,1.088,0.776,0.585,0.163,0.358,7.122,6.947,1.924,Europe
Canada,2022,7.025,1.886,1.188,0.783,0.659,0.217,0.368,7.107,6.943,2.214,North America
United States,2022,6.977,1.982,1.182,0.628,0.574,0.220,0.177,7.065,6.888,1.967,North America
United Kingdom,2022,6.943,1.867,1.143,0.750,0.597,0.289,0.329,7.018,6.867,2.263,Europe
Czechia,2022,6.920,1.815,1.260,0.715,0.660,0.158,0.048,7.029,6.811,2.283,Europe
Belgium,2022,6.805,1.907,1.106,0.764,0.492,0.049,0.204,6.890,6.720,1.895,Europe
France,2022,6.687,1.863,1.219,0.808,0.567,0.070,0.266,6.758,6.615,2.092,Europe
Bahrain,2022,6.647,1.854,1.029,0.625,0.693,0.199,0.155,6.779,6.514,1.885,Asia
Slovenia,2022,6.630,1.810,1.249,0.769,0.685,0.118,0.115,6.718,6.542,2.346,Europe
Costa Rica,2022,6.582,1.584,1.054,0.744,0.661,0.089,0.102,6.683,6.481,1.809,North America
United Arab Emirates,2022,6.576,1.998,0.980,0.633,0.702,0.204,0.250,6.660,6.492,2.075,Asia
Saudi Arabia,2022,6.523,1.870,1.092,0.577,0.651,0.078,0.180,6.637,6.409,2.002,Asia
Taiwan Province of China,2022,6.512,1.897,1.095,0.733,0.542,0.075,0.168,6.596,6.429,0.932,Asia
Singapore,2022,6.480,2.149,1.127,0.851,0.672,0.163,0.587,6.569,6.392,2.446,Asia
Romania,2022,6.477,1.719,1.006,0.655,0.605,0.039,0.006,6.575,6.379,1.893,Europe
Spain,2022,6.476,1.808,1.211,0.808,0.505,0.101,0.149,6.560,6.392,1.974,Europe
Uruguay,2022,6.474,1.615,1.180,0.672,0.665,0.103,0.265,6.562,6.386,2.222,South America
Italy,2022,6.467,1.834,1.052,0.801,0.412,0.085,0.059,6.570,6.363,2.631,Europe
Kosovo,2022,6.455,1.362,0.949,0.569,0.599,0.309,0.035,6.571,6.339,1.631,Europe
Malta,2022,6.447,1.838,1.169,0.789,0.679,0.174,0.166,6.535,6.359,2.153,Europe
Lithuania,2022,6.446,1.804,1.204,0.659,0.496,0.053,0.077,6.535,6.356,2.094,Europe
Slovakia,2022,6.391,1.736,1.232,0.707,0.479,0.118,0.025,6.475,6.306,1.442,Europe
Estonia,2022,6.341,1.793,1.232,0.728,0.689,0.123,0.333,6.415,6.266,2.086,Europe
Panama,2022,6.309,1.715,1.107,0.709,0.592,0.049,0.051,6.464,6.154,2.361,North America
Brazil,2022,6.293,1.462,1.044,0.615,0.546,0.131,0.134,6.384,6.202,2.746,South America
Guatemala,2022,6.262,1.274,0.831,0.522,0.662,0.112,0.115,6.460,6.064,1.860,North America
Kazakhstan,2022,6.234,1.668,1.220,0.611,0.584,0.134,0.157,6.330,6.138,2.044,Asia
Cyprus,2022,6.221,1.815,0.909,0.819,0.448,0.123,0.062,6.320,6.122,1.923,Asia
Latvia,2022,6.180,1.732,1.221,0.637,0.502,0.075,0.090,6.255,6.106,2.031,Europe
Serbia,2022,6.178,1.550,1.086,0.658,0.546,0.219,0.088,6.294,6.062,2.040,Europe
Chile,2022,6.172,1.651,1.080,0.748,0.460,0.124,0.069,6.262,6.082,2.418,South America
Nicaragua,2022,6.165,1.105,1.029,0.617,0.617,0.168,0.212,6.312,6.017,2.239,North America
Mexico,2022,6.128,1.552,0.886,0.623,0.621,0.092,0.115,6.238,6.017,1.884,North America
Croatia,2022,6.125,1.705,1.183,0.709,0.535,0.109,0.000,6.229,6.022,1.693,Europe
Poland,2022,6.123,1.758,1.174,0.712,0.523,0.124,0.140,6.205,6.040,2.514,Europe
El Salvador,2022,6.120,1.265,0.768,0.607,0.666,0.089,0.212,6.250,5.990,1.621,North America
Kuwait*,2022,6.106,1.904,0.983,0.747,0.617,0.087,0.147,6.235,5.977,1.812,Asia
Hungary,2022,6.086,1.748,1.233,0.668,0.485,0.078,0.064,6.187,5.985,1.969,Europe
Mauritius,2022,6.071,1.591,1.116,0.568,0.589,0.131,0.107,6.184,5.958,1.913,Africa
Uzbekistan,2022,6.063,1.219,1.092,0.600,0.716,0.283,0.240,6.178,5.948,1.487,Asia
Japan,2022,6.039,1.835,1.089,0.866,0.537,0.007,0.218,6.119,5.959,2.611,Asia
Honduras,2022,6.022,1.111,0.885,0.555,0.582,0.202,0.076,6.189,5.855,1.691,North America
Portugal,2022,6.016,1.760,1.078,0.777,0.655,0.016,0.039,6.122,5.911,1.891,Europe
Argentina,2022,5.967,1.592,1.102,0.662,0.555,0.081,0.085,6.090,5.844,2.119,South America
Greece,2022,5.948,1.703,0.980,0.774,0.249,0.015,0.108,6.043,5.853,1.656,Europe
South Korea,2022,5.935,1.851,0.886,0.841,0.414,0.111,0.176,6.021,5.849,2.283,Asia
Philippines,2022,5.904,1.268,0.912,0.514,0.678,0.107,0.142,6.007,5.800,1.600,Asia
Thailand,2022,5.891,1.535,1.096,0.697,0.617,0.321,0.026,5.994,5.788,2.142,Asia
Moldova,2022,5.857,1.417,1.008,0.597,0.561,0.102,0.028,5.948,5.766,2.164,Europe
Jamaica,2022,5.850,1.296,1.045,0.646,0.567,0.080,0.053,6.023,5.676,2.087,North America
Kyrgyzstan,2022,5.828,1.069,1.109,0.638,0.693,0.208,0.025,5.916,5.741,1.811,Asia
Belarus,2022,5.821,1.562,1.157,0.629,0.342,0.040,0.282,5.950,5.693,1.971,Europe
Colombia,2022,5.781,1.452,0.929,0.720,0.545,0.087,0.077,5.903,5.659,1.869,South America
Bosnia and Herzegovina,2022,5.768,1.468,1.068,0.665,0.448,0.244,0.006,5.877,5.659,1.999,Europe
Mongolia,2022,5.761,1.393,1.197,0.467,0.398,0.247,0.059,5.845,5.676,1.751,Asia
Dominican Republic,2022,5.737,1.538,1.003,0.577,0.606,0.084,0.179,5.873,5.601,1.471,North America
Malaysia,2022,5.711,1.689,0.938,0.620,0.654,0.213,0.126,5.845,5.578,2.107,Asia
Bolivia,2022,5.600,1.256,0.880,0.555,0.627,0.112,0.064,5.709,5.491,1.516,South America
China,2022,5.585,1.508,0.958,0.705,0.656,0.099,0.142,5.650,5.520,1.555,Asia
Paraguay,2022,5.578,1.409,1.130,0.624,0.629,0.171,0.059,5.689,5.467,1.890,South America
Peru,2022,5.559,1.397,0.865,0.735,0.545,0.090,0.037,5.679,5.439,1.619,South America
Montenegro,2022,5.547,1.573,1.023,0.659,0.460,0.135,0.077,5.681,5.413,1.866,Europe
Ecuador,2022,5.533,1.352,0.879,0.708,0.565,0.080,0.083,5.653,5.414,1.735,South America
Vietnam,2022,5.485,1.252,0.932,0.611,0.707,0.143,0.105,5.570,5.400,1.160,Asia
Turkmenistan,2022,5.474,1.484,1.319,0.516,0.649,0.314,0.032,5.578,5.371,1.078,Asia
North Cyprus,2022,5.467,1.815,0.888,0.819,0.523,0.130,0.213,5.609,5.325,1.494,Asia
Russia,2022,5.459,1.685,1.095,0.586,0.401,0.117,0.080,5.525,5.392,0.642,Europe
Hong Kong S.A.R. of China,2022,5.425,1.957,0.954,0.942,0.400,0.147,0.383,5.501,5.348,1.654,Asia
Armenia,2022,5.399,1.434,0.820,0.668,0.558,0.054,0.210,5.519,5.278,1.895,Asia
Tajikistan,2022,5.377,0.966,1.005,0.518,0.572,0.118,0.304,5.468,5.287,2.224,Asia
Nepal,2022,5.377,0.984,0.784,0.499,0.519,0.237,0.130,5.502,5.251,1.235,Asia
Bulgaria,2022,5.371,1.625,1.163,0.640,0.563,0.123,0.021,5.485,5.257,1.544,Europe
Libya,2022,5.330,1.476,0.943,0.606,0.477,0.106,0.179,5.543,5.118,1.300,Africa
Indonesia,2022,5.240,1.382,0.883,0.539,0.620,0.468,0.047,5.341,5.139,2.652,Asia
Ivory Coast,2022,5.235,1.094,0.442,0.322,0.451,0.149,0.124,5.384,5.085,1.461,Africa
North Macedonia,2022,5.199,1.505,0.863,0.637,0.488,0.215,0.031,5.303,5.095,1.718,Europe
Albania,2022,5.199,1.439,0.646,0.719,0.511,0.138,0.028,5.321,5.076,1.742,Europe
South Africa,2022,5.194,1.425,1.088,0.361,0.442,0.089,0.046,5.315,5.073,1.098,Africa
Azerbaijan,2022,5.173,1.458,1.093,0.560,0.601,0.023,0.341,5.265,5.082,2.531,Asia
Gambia,2022,5.164,0.785,0.621,0.369,0.367,0.388,0.103,5.409,4.918,1.967,Africa
Bangladesh,2022,5.155,1.060,0.614,0.581,0.622,0.125,0.187,5.262,5.049,1.709,Asia
Laos,2022,5.140,1.239,0.654,0.479,0.679,0.197,0.184,5.263,5.018,1.744,Asia
Algeria,2022,5.122,1.363,0.970,0.643,0.146,0.106,0.150,5.215,5.030,2.844,Africa
Liberia,2022,5.122,0.636,0.670,0.309,0.405,0.178,0.080,5.428,4.815,1.331,Africa
Ukraine,2022,5.084,1.411,1.081,0.583,0.473,0.188,0.017,5.190,4.978,2.658,Europe
Congo,2022,5.075,0.950,0.405,0.355,0.431,0.130,0.146,5.235,4.915,2.405,Africa
Morocco,2022,5.060,1.208,0.268,0.565,0.492,0.020,0.102,5.181,4.938,2.641,Africa
Mozambique,2022,5.048,0.578,0.660,0.191,0.593,0.185,0.200,5.273,4.823,2.469,Africa
Cameroon,2022,5.048,0.968,0.672,0.317,0.397,0.152,0.074,5.188,4.907,2.419,Africa
Senegal,2022,5.046,0.933,0.530,0.447,0.494,0.143,0.081,5.171,4.921,2.667,Africa
Niger,2022,5.003,0.570,0.560,0.326,0.571,0.165,0.145,5.247,4.760,1.583,Africa
